step	volume	average_movement_acceptance	average_volume_acceptance
17600	194.378316	0.283895	0.070000
17700	194.509871	0.289593	0.070000
17800	194.290699	0.280930	0.100000
17900	194.296757	0.296279	0.080000
18000	194.044302	0.278779	0.030000
18100	193.877863	0.283721	0.030000
18200	193.385821	0.269593	0.040000
18300	193.251768	0.295581	0.010000
18400	193.019536	0.278953	0.040000
18500	193.070617	0.280058	0.060000
18600	193.205848	0.286919	0.050000
18700	193.562192	0.285407	0.030000
18800	193.068724	0.277384	0.090000
18900	192.146495	0.267616	0.050000
19000	192.036536	0.281279	0.050000
19100	191.650114	0.278488	0.070000
19200	191.460680	0.279826	0.030000
19300	191.403774	0.271105	0.060000
19400	191.197323	0.264419	0.050000
19500	191.308032	0.269651	0.020000
19600	191.692709	0.272674	0.060000
19700	192.079463	0.264709	0.050000
19800	191.840397	0.264593	0.060000
19900	192.216057	0.257209	0.060000
20000	192.060502	0.281453	0.050000
20100	192.205503	0.288314	0.050000
20200	191.979987	0.267849	0.070000
20300	191.779914	0.270349	0.060000
20400	191.872626	0.262326	0.050000
20500	191.702918	0.276105	0.050000
20600	191.708362	0.255930	0.020000
20700	191.886439	0.272093	0.050000
20800	192.108403	0.267907	0.080000
20900	192.182928	0.278605	0.040000
21000	192.312242	0.276221	0.050000
21100	192.563515	0.285814	0.040000
21200	192.478616	0.279302	0.080000
21300	192.623013	0.284826	0.040000
21400	193.034377	0.293721	0.050000
21500	193.122394	0.287035	0.060000
21600	192.615230	0.280233	0.080000
21700	192.785134	0.294360	0.060000
21800	192.938657	0.289593	0.050000
21900	192.887924	0.282209	0.040000
22000	193.016347	0.275930	0.090000
22100	192.996703	0.264012	0.100000
22200	192.885613	0.267267	0.060000
22300	192.744229	0.277849	0.050000
22400	192.633706	0.280930	0.030000
22500	192.744220	0.271105	0.050000
22600	192.947300	0.283198	0.090000
22700	192.647238	0.271570	0.010000
22800	192.448557	0.268721	0.030000
22900	192.692482	0.284593	0.060000
23000	192.505956	0.292674	0.060000
23100	191.624530	0.279128	0.050000
23200	191.275840	0.284012	0.050000
23300	191.973676	0.276221	0.090000
23400	192.279828	0.268198	0.020000
23500	192.335109	0.273895	0.030000
23600	192.375449	0.272849	0.060000
23700	191.400493	0.260174	0.060000
23800	191.011456	0.249826	0.060000
23900	191.349543	0.264302	0.080000
24000	190.808580	0.262849	0.080000
24100	190.913273	0.260930	0.060000
24200	191.276676	0.278605	0.080000
24300	191.193907	0.275058	0.030000
24400	190.967209	0.282151	0.050000
24500	191.086275	0.279884	0.050000
24600	191.252238	0.276163	0.080000
24700	191.260001	0.265523	0.070000
24800	191.344430	0.275581	0.020000
24900	191.305407	0.288895	0.040000
25000	191.390642	0.282791	0.040000
25100	191.220126	0.273953	0.040000
25200	191.207247	0.275523	0.030000
25300	191.350601	0.281570	0.080000
25400	191.231444	0.266395	0.070000
25500	191.201398	0.266453	0.060000
25600	190.611204	0.259826	0.060000
25700	190.424591	0.255581	0.100000
25800	190.198512	0.247674	0.040000
25900	190.309226	0.253721	0.040000
26000	189.776535	0.270581	0.080000
26100	189.097107	0.259186	0.070000
26200	189.299772	0.249826	0.020000
26300	189.558247	0.254767	0.030000
26400	189.779525	0.255116	0.050000
26500	190.271861	0.254419	0.020000
26600	190.736194	0.250872	0.090000
26700	191.522491	0.275000	0.070000
26800	192.018681	0.277616	0.050000
26900	192.070874	0.280640	0.050000
27000	191.971571	0.283779	0.050000
27100	191.859804	0.272035	0.050000
27200	191.774564	0.269826	0.050000
27300	191.500850	0.267500	0.050000
27400	191.753897	0.271453	0.060000
27500	191.755494	0.274360	0.090000
27600	191.763085	0.264244	0.070000
27700	191.679733	0.265058	0.030000
27800	191.501186	0.275291	0.110000
27900	191.116655	0.273140	0.060000
28000	190.903643	0.272093	0.050000
28100	190.784997	0.266105	0.040000
28200	190.869966	0.269070	0.040000
28300	190.555729	0.257151	0.040000
28400	190.763292	0.268895	0.080000
28500	190.795974	0.267209	0.030000
28600	190.181036	0.269244	0.110000
28700	190.284942	0.263023	0.030000
28800	190.215558	0.269651	0.020000
28900	190.400886	0.285349	0.080000
29000	190.713329	0.281105	0.100000
29100	190.408553	0.272442	0.060000
29200	190.523848	0.272326	0.050000
29300	190.700801	0.269012	0.080000
29400	191.240713	0.263837	0.070000
29500	191.738535	0.267965	0.050000
29600	191.593157	0.270407	0.040000
29700	190.575783	0.276919	0.080000
29800	190.298350	0.276221	0.030000
29900	190.212115	0.268721	0.040000
30000	190.431397	0.260233	0.060000
30100	190.617518	0.278430	0.060000
30200	191.167718	0.287907	0.050000
30300	190.723739	0.272035	0.020000
30400	190.605294	0.274419	0.050000
30500	190.296497	0.268547	0.060000
30600	190.177530	0.251570	0.020000
30700	190.362879	0.271047	0.040000
30800	190.652628	0.275058	0.070000
30900	190.551605	0.259419	0.060000
31000	190.297609	0.268256	0.030000
31100	190.225237	0.255349	0.060000
31200	189.578821	0.256047	0.050000
31300	189.458028	0.268721	0.090000
31400	189.299390	0.258314	0.110000
31500	189.448119	0.262558	0.060000
31600	189.780516	0.263314	0.070000
31700	189.450240	0.282558	0.070000
31800	189.251660	0.269302	0.030000
31900	189.219058	0.259651	0.030000
32000	189.335701	0.247035	0.040000
32100	189.506915	0.254651	0.030000
32200	189.414659	0.247384	0.030000
32300	189.189334	0.252674	0.050000
32400	189.036506	0.252674	0.040000
32500	188.995774	0.261279	0.060000
32600	188.811675	0.261279	0.030000
32700	188.715315	0.252500	0.060000
32800	188.606404	0.256860	0.040000
32900	188.622490	0.253779	0.060000
33000	188.924633	0.255988	0.120000
33100	189.036826	0.251919	0.000000
33200	189.060552	0.260465	0.050000
33300	188.944564	0.255814	0.050000
33400	188.621577	0.253430	0.060000
33500	188.559480	0.263488	0.060000
33600	188.999060	0.268256	0.090000
33700	188.552233	0.264419	0.040000
33800	188.604954	0.275058	0.070000
33900	189.151241	0.250581	0.090000
34000	189.317998	0.243663	0.060000
34100	189.524087	0.253837	0.070000
34200	189.709685	0.249942	0.070000
34300	189.694937	0.252907	0.050000
34400	190.104060	0.269826	0.040000
34500	190.006255	0.257616	0.080000
34600	189.698939	0.259767	0.050000
34700	189.389356	0.264186	0.080000
34800	189.120556	0.257558	0.050000
34900	189.240928	0.267791	0.030000
35000	189.210886	0.257965	0.070000
35100	188.725435	0.242035	0.100000
35200	189.301335	0.254593	0.040000
35300	188.896321	0.251279	0.100000
35400	189.151398	0.254593	0.030000
35500	189.366846	0.258721	0.020000
35600	189.556681	0.269767	0.070000
35700	189.648961	0.253547	0.050000
35800	189.881028	0.252849	0.070000
35900	189.854610	0.268430	0.040000
36000	189.868104	0.277151	0.080000
36100	190.214479	0.268081	0.100000
36200	190.844740	0.266512	0.040000
36300	191.102197	0.266221	0.060000
36400	191.326647	0.273488	0.060000
36500	190.830692	0.270872	0.060000
36600	190.472040	0.278372	0.070000
36700	190.556784	0.269884	0.070000
36800	190.691296	0.265814	0.090000
36900	190.559268	0.261686	0.060000
37000	190.903464	0.283605	0.080000
37100	191.007726	0.269535	0.060000
37200	191.002965	0.264826	0.040000
37300	190.899564	0.276047	0.070000
37400	190.591156	0.269128	0.050000
37500	189.917945	0.267326	0.070000
37600	189.597385	0.235756	0.020000
37700	189.406291	0.252965	0.050000
37800	189.351475	0.249012	0.060000
37900	189.143999	0.266337	0.060000
38000	189.193695	0.260058	0.060000
38100	189.454912	0.255116	0.040000
38200	189.586644	0.245872	0.070000
38300	189.523332	0.242674	0.040000
38400	189.654788	0.254651	0.030000
38500	189.991286	0.256163	0.060000
38600	189.854008	0.254419	0.050000
38700	189.626064	0.254535	0.070000
38800	189.655472	0.254360	0.060000
38900	190.125499	0.249302	0.040000
39000	190.164188	0.249186	0.060000
39100	190.058090	0.252733	0.040000
39200	190.111009	0.262209	0.080000
39300	190.067909	0.260291	0.080000
39400	189.865215	0.259244	0.060000
39500	189.748206	0.260640	0.030000
39600	189.854311	0.257500	0.030000
39700	189.912872	0.265174	0.040000
39800	189.625479	0.264360	0.060000
39900	189.816715	0.273256	0.040000
40000	189.271918	0.262442	0.070000
40100	189.457928	0.252674	0.080000
